"Year","Tree.Loss","CassavaArea","CassavaYield","ClovesArea","ClovesYield","CocoaArea","CocoaYield","CoffeeArea","CoffeeYield","MaizeArea","MaizeYield","RiceArea","RiceYield","SweetPotatoArea","SweetPotatoYield","VanillaArea","VanillaYield","Population","CassavaIntensity","ClovesIntensity","CocoaIntensity","CoffeeIntensity","MaizeIntensity","RiceIntensity","SweetPotatoIntensity","VanillaIntensity","Scale.Pop","Scale.Forest","Log.Forest"
"2001",917711100,351985,71320,79570,1487,4670,9443,193355,3337,193270,9290,1212650,21956,91240,57555,25750,357,16260.932,0.202622270835405,0.0186879477189896,2.0220556745182,0.0172584106953531,0.0480674703782274,0.0181058013441636,0.630808855765015,0.0138640776699029,-1.5141417392036,-0.888806268947645,20.6373931931721
"2002",1042838100,352345,67157,79225,1486,4670,9443,193510,3179,194405,8845,1216020,21414,94490,52178,25880,340,16765.117,0.190600122039478,0.0187567055853582,2.0220556745182,0.016428091571495,0.045497800982485,0.0176099077317807,0.552206582707165,0.0131375579598145,-1.35320262510056,-0.805222531852785,20.7652117756048
"2003",1106576100,352815,56466,78910,2401,4670,9443,193670,3631,195540,16255,1219400,22962,105735,46620,26050,202,17279.141,0.160044215807151,0.0304270688125713,2.0220556745182,0.0187483864305262,0.0831287716068324,0.018830572412662,0.440913604766634,0.00775431861804223,-1.18912283853869,-0.762646107620188,20.8245364905084
"2004",943243200,353290,55178,78900,2288,4680,9421,193770,3498,196660,17779,1238000,24475,105735,51282,26220,320,17802.997,0.156183305499731,0.0289987325728771,2.01303418803419,0.018052330082056,0.0904047594833723,0.0197697899838449,0.485004965243297,0.0122044241037376,-1.02190461396326,-0.871751050378674,20.6648347076653
"2005",1103000400,388779,76239,37231,2652,7504,7811,115020,4825,252838,15464,1250000,27140,123913,70897,63764,410,18336.724,0.196098554705887,0.0712309634444415,1.04091151385928,0.0419492262215267,0.0611616924671133,0.021712,0.572151428825063,0.0064299604792673,-0.851535502321955,-0.765034643817252,20.821299939865
"2006",1001763900,392250,76035,36670,2700,7511,7801,115100,5355,255070,15891,1260660,27667,122400,72428,64000,396,18880.269,0.193843212237094,0.0736296700299973,1.03861003861004,0.0465247610773241,0.0623005449484455,0.0219464407532562,0.591732026143791,0.0061875,-0.67803242155768,-0.832659736726087,20.7250281831018
"2007",2094464700,394875,75811,37415,2686,7470,8655,111685,5056,257400,16191,1272030,28268,122855,72814,67000,397,19433.53,0.191987337765116,0.0717893892823734,1.15863453815261,0.0452701795227649,0.0629020979020979,0.0222227463188761,0.592682430507509,0.00592537313432836,-0.501427930730383,-0.102745198772303,21.462563844545
"2008",1417965300,393815,76713,36865,2751,7530,8586,117955,4830,259730,16569,1283560,30495,126669,71262,69724,385,19996.473,0.194794510112616,0.0746236267462363,1.1402390438247,0.0409478190835488,0.0637931698302083,0.0237581414191779,0.562584373445752,0.00552177155642247,-0.321732882860044,-0.554640856739253,21.0724887936709
"2009",1545821100,402349,75058,37900,2700,9300,8602,119000,4831,262069,16225,1295186,35056,127000,71721,69639,389,20569.117,0.186549488130951,0.0712401055408971,0.92494623655914,0.0405966386554622,0.0619111760643189,0.0270663827434824,0.564732283464567,0.00558595040135556,-0.138941213023736,-0.469234305209583,21.1588210624339
"2010",1262061000,405816,74144,37949,2729,11260,8881,118482,4910,264429,15577,1307043,36249,127534,72069,68562,400,21151.64,0.182703491237408,0.0719123033545021,0.788721136767318,0.0414408939754562,0.0589080622775868,0.0277335940745637,0.56509636645914,0.00583413552696829,0.047003897530216,-0.658783559938068,20.9560119358719
"2011",1706508900,472170,73920,43821,2843,7294,8911,110064,5061,277182,15455,1154562,37245,149982,73539,68777,406,21743.967,0.156553783594892,0.0648775701147851,1.22168905950096,0.0459823375490624,0.0557575888766226,0.03225898652476,0.490318838260591,0.0059031362228652,0.236078508316555,-0.361896266020987,21.2577155416505
"2012",1400809500,475658,76133,50900,2931,9127,8765,102181,5222,269997,16591,1219523,37315,145997,75302,71155,412,22346.645,0.160058277165526,0.0575834970530452,0.960337460282678,0.0511053914132764,0.0614488309129361,0.0305980289014639,0.51577772146003,0.00579017637551823,0.428457225274399,-0.566100780471557,21.0603161207519
"2013",3242256300,401316,77609,57572,3001,10300,8738,96780,5335,229684,16581,921328,39189,145696,76582,72364,418,22961.255,0.193386259207208,0.0521260334885014,0.848349514563107,0.0551250258317834,0.0721904878006304,0.0425353402914054,0.525628706347463,0.00577635288264883,0.624644713832901,0.66396950975654,21.8995353132733
"2014",4573515600,376591,77796,69619,2973,12221,8890,92639,5313,219005,16720,982147,40502,147334,77427,76154,412,23589.888,0.206579551821472,0.0427038595785633,0.727436380001637,0.0573516553503384,0.0763452889203443,0.0412382260496647,0.525520246514722,0.0054100900806261,0.825308434720937,1.55323903061365,22.2435480240093
"2015",3287142900,350756,76319,72044,3035,12916,8931,89934,5282,196256,16783,908325,40980,136665,77214,70324,416,24234.088,0.21758430361847,0.0421270334795403,0.691467946732735,0.0587319589921498,0.0855158568400457,0.045116010238626,0.564987377894852,0.00591547693532791,1.03094124272827,0.693953364348132,21.9132846049762
"2016",4172540400,342163,76849,75733,3069,12672,8822,99552,5333,191017,16560,912563,41815,142693,78012,66847,422,24894.37,0.224597633291735,0.040523945968072,0.696180555555556,0.053569993571199,0.0866938544736856,0.0458214939680877,0.546712172285957,0.00631292354181938,1.24170752918697,1.28539111850548,22.151790895898
"2017",5647683600,326593,77243,79845,3114,12296,8811,110855,5377,169438,16613,730000,49322,131410,78735,72917,427,25570.512,0.236511499021718,0.0390005635919594,0.716574495770982,0.048504803572234,0.0980476634521182,0.0675643835616438,0.599155315425006,0.00585597322983666,1.4575364302607,2.27077382092838,22.4545113157382
"2018",4003082100,322007,77638,73832,3159,12783,8800,106000,5420,129008,16666,928184,43418,137045,79458,71964,431,26262.313,0.241106559795284,0.0427863257124282,0.68841430024251,0.0511320754716981,0.129185786927942,0.0467773631090387,0.579794957860557,0.00598910566394308,1.67836378544896,1.1721944623422,22.1103304263643
